latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
48.05359038888888,9.36184219722222,603.5208,12.05000,238,2020,-25.412
48.05358748055554,9.361844283333333,604.2348,12.05833,238,2020,-25.453
48.05358606666667,9.361845241666666,603.9321,12.06667,238,2020,-25.411
48.05358744999999,9.36184743611111,603.7924,12.07500,238,2020,-25.379
48.05358810555555,9.361849113888889,603.9004,12.08333,238,2020,-25.302
48.05358813333333,9.361849113888889,603.8655,12.09167,238,2020,-25.322
48.053588069444444,9.361848891666666,603.9257,12.10000,238,2020,-25.424
48.05358820833332,9.361850111111108,603.9175,12.10833,238,2020,-25.455
48.05358838333333,9.361850241666666,603.996,12.11667,238,2020,-25.535
48.053588244444434,9.361850694444446,604.067,12.12500,238,2020,-25.629
48.05358833055555,9.3618509,604.0846,12.13333,238,2020,-25.682
48.05358844444444,9.361851963888887,604.074,12.14167,238,2020,-25.717
48.053588447222204,9.361852586111112,604.0749,12.15000,238,2020,-25.633
48.053588491666666,9.36185247222222,604.0705,12.15833,238,2020,-25.645
48.05358859166667,9.361852816666666,604.0707,12.16667,238,2020,-25.665
48.053588569444436,9.361852936111113,604.0712,12.17500,238,2020,-25.790
48.05358849999999,9.361852986111112,604.0615,12.18333,238,2020,-25.855
48.05358853888888,9.3618531,604.0562,12.19167,238,2020,-25.932
48.05358859444444,9.361853147222222,604.0496,12.20000,238,2020,-26.057
48.05358867222221,9.361853166666666,604.0229,12.20833,238,2020,-26.063
48.05358870833332,9.361853116666666,604.0117,12.21667,238,2020,-26.027
48.05358873888888,9.361853425000001,603.9923,12.22500,238,2020,-26.021
48.05358874722222,9.361853658333331,603.9712,12.23333,238,2020,-25.961
48.05358877222221,9.361854016666666,603.9455,12.24167,238,2020,-25.951
48.05358877499998,9.361854247222222,603.9346,12.25000,238,2020,-26.034
48.05358878888889,9.361854475,603.9222,12.25833,238,2020,-26.175
48.05358884166667,9.361854694444444,603.8995,12.26667,238,2020,-26.301
48.05358888333333,9.36185483333333,603.8799,12.27500,238,2020,-26.393
48.05358893055555,9.361855055555553,603.8589,12.28333,238,2020,-26.364
48.05358898055555,9.361855194444445,603.8442,12.29167,238,2020,-26.285
48.053589019444445,9.36185533611111,603.8317,12.30000,238,2020,-26.265
48.05358900277777,9.361855280555556,603.8331,12.30833,238,2020,-26.364
48.05358901388889,9.361855275000002,603.8316,12.31667,238,2020,-26.405
48.05358901111111,9.361855241666666,603.8342,12.32500,238,2020,-26.539
48.05358900277777,9.36185516111111,603.8351,12.33333,238,2020,-26.547
48.05358895,9.361854,603.9508,12.33333,238,2020,0.000
48.05358895,9.361854,603.9508,12.33333,238,2020,0.000
